"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012021";"771230";"DEPOSITO DE SUPRIM.DE INTEND.DA MARINHA NO RJ";"6";"Dispensa de Licitação";"012021";"Objeto: Aquisição de freezer horizontal 400-450 litros, cor branca, porta dupla, 127 volts. GARANTIA MINIMA 12 MESES.";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"13/02/2023";"11/05/2021";"0,00"
"000012022";"130018";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/TO";"5";"Pregão";"21056000255202211";"Objeto: Pregão Eletrônico - Contratação de serviços de limpeza e conservação predial, de forma contínua, com disponibilização de mão de obra em regime de dedicação exclusiva, materiais e equipamentos necessários ao desempenho das atividades para suprir as necessidades da Superintendência Federal de Agricultura, Pecuária e Abastecimento no Estado do Tocantins - SFA/TO";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"TO";"PALMAS";"02/02/2023";"16/12/2022";"127592,8100"
"000012022";"135182";"CONAB SEDE SUREG MINAS GERAIS";"5";"Pregão";"21445.001534/2022";"Objeto: Pregão Eletrônico - Contratação de empresa para a prestação dos serviços de vigilância armada, diurna e noturna, de segunda a domingo - jornada 12x36 horas, na unidade da Conab localizada na cidade de Passa Quatro/MG";"Publicado";"49000";"Ministério do Desenvolvimento Agrário e Agr";"22211";"Companhia Nacional de Abastecimento";"MG";"BELO HORIZONTE";"16/02/2023";"20/12/2022";"333175,2000"
"000012022";"154034";"UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ";"3";"Concorrência";"23102000076202125";"Objeto: Contratação de empresa especializada para conclusão da construção do novo prédio do Centro de Ciências Humanas e Sociais (CCHS) da UNIRIO, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Adiamento Publicado";"26000";"Ministério da Educação";"26269";"Universidade Federal do Estado do Rio de Jane";"RJ";"RIO DE JANEIRO";"15/02/2023";"";"12183748,7100"
"000012022";"160053";"11 GRUPO DE ARTILHARIA ANTIAEREA";"7";"Inexigibilidade de Licitação";"64541004769202286";"Objeto: Prestação de serviços de publicidade legal para o 11¿ Grupo de Artilharia Antiaérea, por meio da EBC (Empresa Brasil de Comunicação).";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DF";"BRASILIA";"14/02/2023";"";"6038,4000"
"000012022";"160058";"32 GRUPO DE ARTILHARIA DE CAMPANHA";"-99";"Pregão - Registro de Preço";"64561001077202248";"Objeto: Pregão Eletrônico - Aquisição de materiais permanentes para atender as necessidades do 32º Grupo de Artilharia de Campanha.";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DF";"BRASILIA";"27/02/2023";"25/07/2022";"14055,0000"
"000012022";"160198";"7º DEPOSITO DE SUPRIMENTO";"7";"Inexigibilidade de Licitação";"64453006876202238";"Objeto: Publicidade legal impressa e/ou eletrônica";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"PE";"RECIFE";"02/02/2023";"";"15000,0000"
"000012022";"160246";"DEPOSITO CENTRAL DE MUNICAO";"7";"Inexigibilidade de Licitação";"64449003965202291";"Objeto: Atendimento de saúde especializado por intermédio de Clínicas médicas";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"PARACAMBI";"09/02/2023";"";"32400,0000"
"000012022";"160292";"COLEGIO MILITAR DO RIO DE JANEIRO";"-99";"Pregão - Registro de Preço";"64258.019084/2022";"Objeto: Pregão Eletrônico - Contratação de serviços de processamento de dados para o concurso de admissão de alunos ao Colégio Militar do Rio de Janeiro no ano de 2022 (CMRJ 2022)";"Evento de Adiamento Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"08/02/2023";"29/08/2022";"44940,0000"
"000012022";"160298";"COMANDO DA 1 REGIAO MILITAR";"-99";"Pregão - Registro de Preço";"64279001052202230";"Objeto: Pregão Eletrônico - Aquisição de Gêneros Alimentícios e Descartáveis - QR";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"22/02/2023";"19/08/2022";"111061,5000"
