"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012022";"160230";"15 COMPANHIA DE ENGENHARIA DE COMBATE";"2";"Tomada de Preços";"6441005738202238";"Objeto: Adequação da Cabine de Medição em Média Tensão da 15ª Companhia de Engenharia de Combate Mecanizada.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"PR";"PALMAS";"08/08/2023";"";"147956,0900"
"000012022";"160263";"11 GRUPO DE ARTILHARIA DE CAMPANHA";"6";"Dispensa de Licitação";"01/2022";"Objeto: Aquisição de lixeiras para fins de coleta seletiva.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"29/08/2023";"14/03/2022";"3262,7900"
"000012022";"732100";"CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO";"-99";"Pregão - Registro de Preço";"63092001430202209";"Objeto: Pregão Eletrônico - Escolha da proposta mais vantajosa para eventual aquisição de insumos da construção civil da Tabela SINAPI (Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil), mais atual, com desoneração, abrangência Rio de Janeiro), visando o atendimento das necessidades de manutenção de bens imóveis da Organização Militar, em regime de maior desconto percentual unitário, conforme condições, quantidades, exigências e estimativas,";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"24/08/2023";"20/12/2022";"15000,0000"
"000012023";"926397";"AGÊN.BRAS.GEST.DE FUNDOS GARANTID.GARANT.S.A";"5";"Pregão";"008/2023";"Objeto: Pregão Eletrônico - Contratação de serviços continuados de Secretária-Executiva Bilíngue e Assistente Administrativo, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexo";"Publicado";"20000";"PRESIDENCIA DA REPUBLICA - PRES";"25000";"MINISTERIO DA FAZENDA";"-3";"Inválido";"04/08/2023";"01/08/2023";"213362,9200"
"000012023";"927729";"CONSELHO REG. DE ARQUITETURA E URBANISMO - PE";"5";"Pregão";"026/2023";"Objeto: Pregão Eletrônico - O objeto da presente licitação é a aquisição de veículo do TIPO SUV conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Adiamento Divulgado";"38958";"CONSELHO REG. DE ARQUITETURA E URBANISMO - PE";"38958";"CONSELHO REG. DE ARQUITETURA E URBANISMO - PE";"-3";"Inválido";"14/08/2023";"27/07/2023";"256780,0000"
"000012023";"926397";"AGÊN.BRAS.GEST.DE FUNDOS GARANTID.GARANT.S.A";"7";"Inexigibilidade de Licitação";"0192023";"Objeto: Contratação de empresa especializada no fornecimento de serviços de monitoramento de riscos socioambientais e de anticorrupção, para atender às necessidades da Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A.  ABGF.";"Publicado";"20000";"PRESIDENCIA DA REPUBLICA - PRES";"25000";"MINISTERIO DA FAZENDA";"-3";"Inválido";"23/08/2023";"";"263007,2600"
"000012023";"110816";"SECRETARIA DE COMUNICACAO SOCIAL/PR";"5";"Pregão";"00170002523202333";"Objeto: Pregão Eletrônico - Planejamento, coordenação, supervisão e execução das ações para a realização da Expo Arena Cívica 2023, no período pré-evento, durante e pós-evento conforme especificações do Termo de Referência e seus anexos.";"Publicado";"20000";"Presidência da República";"20101";"Presidência da República";"DF";"BRASILIA";"15/08/2023";"14/08/2023";"4584000,0000"
"000012023";"114606";"SUPERINTENDENCIA ESTADUAL DO IBGE NO PARA";"5";"Pregão";"20668000816202250";"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços de manutenção preventiva e corretiva, instalação e remoção de aparelhos de ar condicionado, incluindo o fornecimento de peças e acessórios necessários à execução desses serviços para atender as demandas e a Elaboração de Plano de Manutenção, Operação e Controle (PMOC) da Superintendência Estadual do IBGE no Pará e agência Belém 01.";"Evento de Suspensão Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"PA";"BELEM";"09/08/2023";"24/07/2023";"37879,9000"
"000012023";"120060";"ACADEMIA DA FORCA AEREA";"3";"Concorrência";"67510008197202341";"Objeto: Permissão de Uso de àrea de 7.320,00 m² no Interior da Academia da Força Aérea (AFA) para exploração comercial por empresa especializada em eventos, mediante planejamento, organização, promoção e execução do evento Domingo Aéreo AFA 2023 .";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SP";"PIRASSUNUNGA";"17/08/2023";"";"4,3000"
"000012023";"120641";"BASE AEREA DE PORTO VELHO";"2";"Tomada de Preços";"67293003364202379";"Objeto: Adequação do Sistema de Abastecimento de Água do Destacamento de Controle do Espaço Aéreo de Porto Velho- DTCEA-PV";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RO";"PORTO VELHO";"31/08/2023";"";"350581,0800"
"000012023";"120645";"GRUPAMENTO DE APOIO DO GALEAO";"3";"Concorrência";"67107001671202375";"Objeto: Contratação de empresa de engenharia especializada para a execução da substituição da iluminação existente do Pátio de Aeronaves da Base Aérea do Galeão(BAGL).";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RJ";"RIO DE JANEIRO";"01/08/2023";"";"3691070,9400"
"000012023";"130028";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/SE";"5";"Pregão";"21054000403202306";"Objeto: Pregão Eletrônico - Contratação de serviços de vigilância e segurança patrimonial.";"Evento de Resultado de Julgame";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"SE";"ARACAJU";"29/08/2023";"29/08/2023";"240207,3600"
"000012023";"130067";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/SP";"-99";"Pregão - Registro de Preço";"21052008905202214";"Objeto: Pregão Eletrônico - Aquisição de material de consumo diversos, para atender a Superintendência Federal de Agricultura, Pecuária e Abastecimento no Estado de São Paulo, bem como suas unidades descentralizadas, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"SP";"SAO PAULO";"04/08/2023";"17/01/2023";"47940,0000"
